tvil_hotel_id,name,rooms_num,free_rooms_amount,max_capacity,available_rooms_percent,date,min_price
1435824,"Гостиница ""Ангара""",300,14,24,4.67,2026-03-19,5500.00
1434513,"Парк отель ""Байкал""",9,11,34,122.22,2026-03-19,4500.00
906031,"Гостиница ""Матрёшка""",35,6,13,17.14,2026-03-19,5166.00
1265180,"Отель ""Байкал Бизнес Центр""",59,3,8,5.08,2026-03-19,8800.00
1296851,"Гостиница ""Русь""",56,9,21,16.07,2026-03-19,4100.00
1328740,"Гостиница ""На Звездинской""",30,5,9,16.67,2026-03-19,5000.00
1845315,"Апарт -отель ""BaikalStory """,10,3,16,30.0,2026-03-19,4280.00
1889753,"Мини-отель ""Проспект""",4,2,8,50.0,2026-03-19,3200.00
1009170,"Апарт-отель ""Sokolov Hotel""",30,7,24,23.33,2026-03-19,3700.00
1490581,"Гостиница ""Юбилейная""",23,3,6,13.04,2026-03-19,3000.00
1298063,"Бутик-отель ""География""",12,2,3,16.67,2026-03-19,6400.00
1064267,Мини-отель «Nice People»,6,6,11,100.0,2026-03-19,3800.00
787596,"Гостиница ""Ochagof""",23,3,9,13.04,2026-03-19,5950.00
1000539,"Отель ""Маяк""",75,7,13,9.33,2026-03-19,8140.00
1277758,"Отель ""Гранд Байкал""",64,2,6,3.12,2026-03-19,10800.00
1372499,"Отель ""Байкал Хан Ольхон""",37,6,14,16.22,2026-03-19,16500.00
1032271,"Отель ""Даурия""",15,4,10,26.67,2026-03-19,5500.00
1265779,"Отель ""Клубный Квартал""",48,5,10,10.42,2026-03-19,3400.00
1287498,"Парк-отель ""Соболинка""",33,4,4,12.12,2026-03-19,8600.00
1276636,"Парк-отель ""Бурдугуз""",69,10,30,14.49,2026-03-19,19500.00
1367731,"Отель ""Яковлевъ""",25,5,10,20.0,2026-03-19,4000.00
1390225,"Гостиница ""Добрый Кот""",10,6,13,60.0,2026-03-19,800.00
1462849,"Гостиница ""7 дорог""",19,10,36,52.63,2026-03-19,7970.00
1491765,"Гостиница ""130Hotel""",12,0,0,0.0,2026-03-19,
1487384,"Парк отель ""Уюга""",58,10,38,17.24,2026-03-19,4500.00
1609403,"Отель ""Иркут""",30,7,13,23.33,2026-03-19,3500.00
1690094,Гостиница Олимпиада,25,3,4,12.0,2026-03-19,1700.00
1892012,"Отель ""Подлеморье""",14,7,15,50.0,2026-03-19,5000.00
1913029,"Отель ""Точка Байкала""",38,0,0,0.0,2026-03-19,
1467982,Гостиница,5,2,4,40.0,2026-03-19,2000.00
1490199,Отель «Альпари»,10,4,10,40.0,2026-03-19,2400.00
1382100,"Гостиница ""У Истока""",24,0,0,0.0,2026-03-19,
895518,"Гостиница ""Космос""",16,7,24,43.75,2026-03-19,3675.00
1314294,"Гостиница ""Ангара-Приоритет""",31,7,14,22.58,2026-03-19,4500.00
2063101,"Гостиница ""Азия-Европа""",19,7,14,36.84,2026-03-19,5250.00
1048431,"Гостиница ""Usadba 50 ( Усадьба 50)""",15,7,13,46.67,2026-03-19,4100.00
904225,"Отель ""Михаил Строгов""",21,3,4,14.29,2026-03-19,5400.00
1655828,"Апарт-отель ""Светлый""",6,4,8,66.67,2026-03-19,4500.00
1775519,"Гостиница ""Nord Star Hotel""",12,6,20,50.0,2026-03-19,5550.00
1851647,"Парк-Отель ""Шелест""",8,4,8,50.0,2026-03-19,5000.00
1441288,Отель Армат 4*,40,9,20,22.5,2026-03-19,7400.00
1367592,"Отель ""Атлас""",28,5,14,17.86,2026-03-19,5600.00
1472664,"Гостиница ""Байкал Форест""",76,7,19,9.21,2026-03-19,6500.00
424345,"Гостиничный комплекс ""Лазурный берег""",66,2,4,3.03,2026-03-19,5000.00
1450305,Дача БайкалЭко,10,3,6,30.0,2026-03-19,15000.00
425543,"Отель ""Звезда""",64,6,14,9.38,2026-03-19,6000.00
1296594,"Отель ""Тайга""",44,7,19,15.91,2026-03-19,5800.00
1508283,"Гостиница"" Аврора""",7,7,17,100.0,2026-03-19,2900.00
1390108,"Гостиница  ""Воробьевы горы""",11,7,28,63.64,2026-03-19,12000.00
1097942,Hotel Olhon 2*,28,0,0,0.0,2026-03-19,
1632075,"Отель"" Арбат""",11,2,4,18.18,2026-03-19,6890.00
1785783,"Отель ""Белый Берег""",5,4,16,80.0,2026-03-19,9500.00
2032078,Гостиница «Усадьба Егорова»,10,8,20,80.0,2026-03-19,6000.00
767249,"Отель ""Купеческий Дворъ""",14,8,25,57.14,2026-03-19,8200.00
898794,"Бутик-отель ""Маруся""",14,7,17,50.0,2026-03-19,6615.00
1129766,"Доходный дом ""М.А. Листратовой""",15,9,15,60.0,2026-03-19,3885.00
1343236,"Бутик-отель ""Аристократ""",12,4,7,33.33,2026-03-19,4500.00
1345611,Гостиница,29,8,19,27.59,2026-03-19,13800.00
1335449,Отель Амурский,17,11,26,64.71,2026-03-19,14000.00
1378154,"Гостиница ""Байкал - Северное море""",120,9,21,7.5,2026-03-19,6785.00
1802586,"Гостиница ""BAIKAL VIEW""",99,2,4,2.02,2026-03-19,9200.00
1899852,Отель «Байкал-Аляска»,24,4,8,16.67,2026-03-19,9500.00
1979910,"Отель""NUUR HOTEL""",28,8,24,28.57,2026-03-19,6000.00
1993192,"Парк-отель ""Алтан""",21,0,0,0.0,2026-03-19,
2036706,"Отель ""Магистраль""",21,9,25,42.86,2026-03-19,3100.00
1367536,"Отель ""Санаторий Солнечный""",125,4,8,3.2,2026-03-19,4350.00
